Date,Open,High,Low,Close,Adj Close,Volume
2009-10-2,48.68,49.450001,47.5,48.830002,38.978142,10681200
2009-10-5,49.200001,50.799999,49.049999,50.75,40.510765,8668000
2009-10-6,51.400002,52.389999,50.689999,51.700001,41.269089,9776300
2009-10-7,51.25,52.080002,51.25,51.900002,41.428741,7437300
2009-10-8,52.529999,53.259998,51.759998,53.09,42.378658,11193400
2009-10-9,52.509998,53.700001,52.310001,53.639999,42.817696,8049900
2009-10-12,53.990002,54,52.810001,53.049999,42.346718,6686100
2009-10-13,52.900002,53.189999,52.080002,52.740002,42.099266,6511700
2009-10-14,53.52,54.509998,53.049999,54.509998,43.512165,9191300
2009-10-15,54,54.790001,53.509998,54.77,43.7197,7367400
2009-10-16,54.110001,54.75,53.619999,54.57,43.560051,8837900
2009-10-19,54.889999,58.200001,54.860001,57.849998,46.17828,18786400
2009-10-20,61.169998,61.279999,58.369999,59.610001,47.583183,33896900
2009-10-21,59.049999,60.119999,58.23,58.400002,46.617325,17064300
2009-10-22,57.799999,58.900002,56.299999,58.740002,47.228371,11376500
2009-10-23,58.610001,59.59,57.43,57.599998,46.311787,8775700
2009-10-26,57.990002,59.080002,56.830002,57.07,45.885658,9793200
2009-10-27,56.900002,57.599998,56.389999,56.689999,45.580124,10948800
2009-10-28,56.220001,57.060001,54.419998,54.43,43.763035,12086300
2009-10-29,55.299999,57.34,55.02,57.25,46.030384,9873200
2009-10-30,57.09,57.900002,54.639999,55.060001,44.269569,12047400
2009-11-2,55.700001,56.720001,54.259998,55.490002,44.615299,9967300
2009-11-3,54.98,56.73,54.639999,56.459999,45.395191,7770500
2009-11-4,56.93,57.830002,56.099998,56.220001,45.202244,8643700
2009-11-5,56.740002,58.09,56.59,57.990002,46.625359,6843500
2009-11-6,57.380001,58.200001,56.540001,57.599998,46.311787,6160600
2009-11-9,58.380001,60.09,58.240002,60,48.241447,12250500
2009-11-10,59.830002,60.330002,59.07,59.959999,48.20929,8872900
2009-11-11,60.759998,60.82,59.470001,60.060001,48.289684,7496100
2009-11-12,59.830002,60.119999,58.18,58.57,47.091694,7588100
2009-11-13,58.849998,59.25,58.200001,58.779999,47.260529,6442100
2009-11-16,59.5,60.900002,59.25,60.400002,48.563049,8333600
2009-11-17,60.049999,60.169998,59.049999,59.880001,48.144966,7096000
2009-11-18,59.959999,60.139999,59,59.41,47.767071,6626100
2009-11-19,58.720001,58.740002,57.599998,58.610001,47.123844,8235500
2009-11-20,58.099998,58.240002,57.040001,57.950001,46.593201,8698100
2009-11-23,58.959999,59.830002,57.959999,58.139999,46.745956,9476000
2009-11-24,58.110001,58.369999,57.240002,58,46.633392,6625800
2009-11-25,58.02,59.34,57.450001,59.040001,47.469582,6236500
2009-11-27,57.040001,58.330002,56.75,57.450001,46.191181,5189600
2009-11-30,57.82,58.509998,57.310001,58.389999,46.946976,9718500
2009-12-1,59.240002,60.25,59.049999,59.68,47.984154,9823800
2009-12-2,59.849998,60.080002,58.549999,58.939999,47.389183,7872000
2009-12-3,59.119999,60,58,58.200001,46.794201,7593300
2009-12-4,59.130001,59.619999,57.259998,58.299999,46.874596,10448100
2009-12-7,58.419998,58.419998,57.310001,57.560001,46.279629,6834500
2009-12-8,57.139999,57.189999,56.25,56.380001,45.330879,6480000
2009-12-9,56.360001,56.59,55.400002,56.18,45.170074,8552300
2009-12-10,56.91,57.27,56.509998,56.939999,45.781124,6303900
2009-12-11,57.240002,57.650002,56.639999,57.509998,46.239414,5364700
2009-12-14,58,58.450001,57.75,58.299999,46.874596,4585300
2009-12-15,58.220001,58.439999,57.799999,58.200001,46.794201,4950100
2009-12-16,58.43,58.849998,58,58.23,46.818329,6738800
2009-12-17,57.93,57.990002,57.009998,57.529999,46.255497,5700400
2009-12-18,58.07,58.099998,56.720001,57.189999,45.982143,7236400
2009-12-21,57.560001,57.93,57.299999,57.599998,46.311787,5339700
2009-12-22,57.560001,57.98,57.32,57.889999,46.544952,4280000
2009-12-23,58.049999,58.57,57.889999,58.32,46.890675,4047700
2009-12-24,58.349998,58.630001,58.189999,58.330002,46.898727,1507800
2009-12-28,58.5,58.68,58.169998,58.509998,47.043442,3789800
2009-12-29,58.57,58.740002,58.130001,58.18,46.77813,2879300
2009-12-30,57.98,58.220001,57.75,58.049999,46.673588,3479800
2009-12-31,57.599998,57.959999,56.990002,56.990002,45.821327,3859700
2010-1-4,57.650002,59.189999,57.509998,58.549999,47.075603,7325600
2010-1-5,58.549999,59.439999,58.23,59.25,47.638432,5697200
2010-1-6,59.18,59.93,59.049999,59.43,47.783142,4718800
2010-1-7,59.299999,59.900002,58.650002,59.669998,47.976112,5432900
2010-1-8,59.25,60.369999,59.25,60.34,48.514805,6651300
2010-1-11,60.950001,64.419998,60.849998,64.129997,51.562061,21958800
2010-1-12,63.009998,63.16,61.18,62.240002,50.042465,13561900
2010-1-13,62.099998,62.779999,61.380001,62.330002,50.114826,8398700
